Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
1,0.535,0.41,0.13,0.7085,0.3445,0.1525,0.1795,8
0,0.655,0.5,0.2,1.6275,0.7465,0.369,0.3325,9
2,0.425,0.34,0.125,0.388,0.149,0.087,0.12,7
2,0.295,0.22,0.075,0.1285,0.053,0.0255,0.035,6
2,0.575,0.47,0.135,1.0325,0.497,0.2175,0.2785,10
2,0.6,0.455,0.15,0.7405,0.354,0.1455,0.225,8
0,0.655,0.515,0.175,1.4115,0.6565,0.3315,0.3725,11
0,0.585,0.465,0.17,0.9065,0.371,0.2135,0.32,11
2,0.28,0.205,0.07,0.124,0.0365,0.0205,0.03,5
0,0.555,0.425,0.155,0.8795,0.3345,0.1905,0.19,9
1,0.465,0.365,0.115,0.421,0.1515,0.092,0.15,13
2,0.32,0.235,0.08,0.1585,0.053,0.0395,0.047,6
2,0.525,0.4,0.13,0.6885,0.3125,0.1525,0.22,9
1,0.615,0.48,0.145,1.1595,0.4845,0.2165,0.2915,8
0,0.52,0.405,0.125,0.8295,0.3155,0.1725,0.235,12
0,0.465,0.35,0.11,0.4385,0.2075,0.0975,0.1185,8
0,0.575,0.45,0.15,0.813,0.28,0.1815,0.2375,10
1,0.635,0.495,0.175,1.051,0.358,0.188,0.39,11
1,0.695,0.55,0.205,1.742,0.8455,0.3855,0.455,11
1,0.565,0.45,0.17,1.098,0.398,0.2185,0.395,23
0,0.67,0.525,0.175,1.5015,0.6805,0.3255,0.41,13
2,0.385,0.29,0.09,0.2845,0.1215,0.0635,0.08,8
0,0.575,0.46,0.135,0.8085,0.3345,0.1925,0.235,13
1,0.69,0.535,0.185,1.8075,0.675,0.3615,0.3965,10
1,0.69,0.525,0.175,1.741,0.74,0.3555,0.455,13
1,0.565,0.455,0.145,0.849,0.3355,0.1775,0.275,15
0,0.65,0.515,0.2,1.4685,0.667,0.3145,0.4115,13
1,0.595,0.48,0.15,0.991,0.4835,0.207,0.207,9
0,0.635,0.505,0.185,1.3585,0.6935,0.2935,0.335,13
2,0.245,0.175,0.05,0.0765,0.034,0.014,0.0215,4
1,0.6,0.47,0.175,1.065,0.4985,0.212,0.305,12
1,0.45,0.35,0.115,0.4385,0.186,0.089,0.1325,9
2,0.57,0.44,0.15,0.837,0.3695,0.1785,0.26,11
2,0.525,0.385,0.125,0.7455,0.3125,0.1365,0.19,10
2,0.575,0.46,0.16,0.869,0.3425,0.185,0.319,11
2,0.37,0.28,0.085,0.2215,0.1045,0.0465,0.055,6
1,0.425,0.325,0.105,0.406,0.1675,0.081,0.098,9
0,0.55,0.435,0.125,0.7625,0.3055,0.144,0.205,8
0,0.565,0.455,0.185,1.0835,0.3365,0.1635,0.4,17
0,0.43,0.34,0.1,0.389,0.2015,0.0865,0.0945,8
2,0.375,0.275,0.095,0.2385,0.094,0.0575,0.075,7
0,0.585,0.475,0.16,1.0565,0.4445,0.1935,0.325,12
0,0.625,0.49,0.18,1.3135,0.5495,0.2255,0.3075,9
0,0.58,0.465,0.18,0.955,0.4455,0.201,0.2565,10
1,0.56,0.42,0.125,0.8795,0.3365,0.152,0.235,8
1,0.68,0.515,0.185,1.5525,0.6275,0.2415,0.45,17
0,0.635,0.51,0.165,1.489,0.715,0.3525,0.3615,11
0,0.555,0.435,0.14,0.8295,0.3835,0.1805,0.215,10
1,0.555,0.43,0.155,0.869,0.3815,0.1855,0.2705,10
1,0.675,0.545,0.185,1.764,0.7745,0.347,0.488,12
0,0.525,0.39,0.135,0.7365,0.3105,0.1625,0.19,9
1,0.55,0.43,0.135,0.737,0.3225,0.1715,0.1845,9
1,0.605,0.475,0.17,1.12,0.479,0.2735,0.285,10
0,0.595,0.47,0.155,1.072,0.469,0.2045,0.335,10
1,0.59,0.48,0.165,1.2415,0.5245,0.2675,0.33,14
2,0.36,0.27,0.085,0.2255,0.08,0.039,0.06,9
0,0.575,0.45,0.135,0.95,0.4005,0.2145,0.2365,12
1,0.74,0.56,0.195,1.8795,0.959,0.4255,0.4705,11
2,0.35,0.265,0.09,0.2555,0.1165,0.0535,0.07,6
0,0.605,0.49,0.155,1.1345,0.4495,0.238,0.305,11
0,0.605,0.485,0.145,1.1635,0.5305,0.2215,0.335,10
2,0.45,0.35,0.11,0.425,0.1925,0.081,0.1285,8
1,0.605,0.475,0.145,1.073,0.458,0.1975,0.315,10
1,0.45,0.35,0.155,0.5425,0.1705,0.123,0.195,9
0,0.65,0.505,0.165,1.36,0.65,0.297,0.345,10
2,0.535,0.415,0.13,0.702,0.302,0.1565,0.1825,8
2,0.515,0.395,0.13,0.636,0.2985,0.1315,0.18,8
2,0.485,0.365,0.11,0.441,0.1585,0.1045,0.12,9
1,0.48,0.375,0.135,0.7405,0.3345,0.1465,0.177,9
0,0.7,0.575,0.205,2.2655,0.9,0.4255,0.584,10
0,0.61,0.46,0.165,1.0785,0.4835,0.2435,0.29,11
2,0.515,0.435,0.13,0.706,0.3355,0.1335,0.205,8
2,0.295,0.23,0.07,0.1295,0.0545,0.0295,0.0365,3
0,0.5,0.375,0.14,0.6195,0.245,0.1375,0.215,10
2,0.35,0.28,0.09,0.2385,0.098,0.0455,0.07,8
1,0.54,0.425,0.16,0.8,0.3535,0.1535,0.215,17
2,0.515,0.38,0.11,0.531,0.2415,0.098,0.14,8
2,0.575,0.45,0.135,0.8295,0.3845,0.1595,0.25,12
1,0.575,0.455,0.155,1.1185,0.4605,0.2165,0.305,10
2,0.44,0.33,0.105,0.4265,0.1865,0.0795,0.13,7
2,0.565,0.46,0.16,0.9715,0.2895,0.2185,0.28,16
0,0.465,0.355,0.115,0.4965,0.1755,0.1125,0.145,8
2,0.39,0.28,0.09,0.249,0.0945,0.0455,0.07,9
1,0.665,0.535,0.205,1.2395,0.468,0.2655,0.435,10
0,0.475,0.365,0.125,0.422,0.1635,0.0985,0.1535,9
1,0.6,0.475,0.15,1.0075,0.4625,0.2475,0.25,9
1,0.555,0.435,0.145,0.7485,0.2855,0.1785,0.2215,11
0,0.59,0.46,0.14,1.0595,0.4865,0.2475,0.296,12
0,0.53,0.425,0.135,0.7665,0.3045,0.1635,0.2175,9
0,0.495,0.39,0.135,0.631,0.295,0.1435,0.1835,9
0,0.525,0.415,0.14,0.7995,0.3265,0.1845,0.195,9
1,0.67,0.525,0.18,1.543,0.6595,0.3485,0.41,10
1,0.59,0.47,0.15,0.9265,0.4125,0.182,0.255,10
0,0.585,0.455,0.15,1.056,0.452,0.214,0.265,12
0,0.605,0.475,0.145,1.025,0.4325,0.207,0.34,16
2,0.47,0.36,0.125,0.5225,0.234,0.1065,0.136,8
1,0.515,0.4,0.145,0.8265,0.2845,0.2035,0.25,14
0,0.49,0.38,0.125,0.5805,0.2415,0.0935,0.185,12
2,0.415,0.31,0.095,0.306,0.131,0.0745,0.0875,8
2,0.45,0.345,0.125,0.4335,0.1725,0.096,0.145,10
2,0.36,0.265,0.08,0.1895,0.0725,0.044,0.055,7
1,0.44,0.33,0.115,0.4485,0.181,0.0895,0.12,8
0,0.645,0.52,0.19,1.3105,0.68,0.2555,0.37,9
1,0.575,0.45,0.155,1.066,0.4845,0.2115,0.25,9
1,0.58,0.45,0.15,0.8805,0.3745,0.2165,0.2325,9
0,0.475,0.37,0.115,0.4725,0.2385,0.0855,0.12,9
1,0.61,0.48,0.175,1.1785,0.4675,0.287,0.335,20
0,0.5,0.4,0.11,0.5945,0.248,0.1375,0.185,12
0,0.6,0.49,0.17,1.2105,0.5265,0.24,0.3345,9
1,0.54,0.415,0.165,0.806,0.3285,0.1595,0.245,11
1,0.575,0.455,0.16,1.098,0.4335,0.221,0.36,14
2,0.585,0.45,0.15,0.7665,0.368,0.1685,0.2285,8
2,0.375,0.275,0.095,0.2715,0.1265,0.059,0.06,7
0,0.155,0.13,0.025,0.024,0.009,0.006,0.005,3
1,0.5,0.44,0.14,0.8335,0.377,0.1605,0.235,10
0,0.52,0.44,0.15,0.9595,0.3115,0.2025,0.265,17
1,0.605,0.48,0.15,0.9235,0.3685,0.221,0.3225,9
2,0.425,0.32,0.1,0.3085,0.138,0.0635,0.093,7
0,0.54,0.425,0.14,0.7385,0.3065,0.1405,0.215,9
2,0.52,0.385,0.125,0.607,0.2295,0.1295,0.18,9
1,0.61,0.47,0.19,0.9605,0.39,0.1725,0.32,9
0,0.485,0.4,0.12,0.541,0.2065,0.1175,0.1405,8
1,0.555,0.43,0.15,0.8295,0.3875,0.156,0.2775,10
0,0.55,0.455,0.14,0.869,0.3155,0.185,0.29,10
1,0.58,0.45,0.155,0.892,0.4315,0.176,0.225,10
1,0.585,0.455,0.165,1.0805,0.469,0.2215,0.2875,10
0,0.59,0.465,0.14,0.982,0.4295,0.2045,0.287,12
0,0.53,0.405,0.125,0.8115,0.3045,0.182,0.202,10
2,0.365,0.27,0.085,0.2245,0.1105,0.042,0.064,7
2,0.355,0.265,0.08,0.197,0.08,0.0465,0.06,8
2,0.56,0.425,0.14,0.9325,0.419,0.1975,0.24,10
0,0.53,0.41,0.115,0.66,0.27,0.158,0.19,7
2,0.435,0.35,0.135,0.457,0.1895,0.086,0.13,9
1,0.54,0.415,0.135,0.742,0.3525,0.159,0.2105,8
2,0.45,0.355,0.105,0.474,0.21,0.109,0.135,8
0,0.505,0.42,0.145,0.775,0.3145,0.1615,0.215,10
1,0.58,0.45,0.145,0.9455,0.4655,0.2105,0.2315,8
2,0.395,0.3,0.09,0.3065,0.1255,0.056,0.08,7
0,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,11
0,0.3,0.22,0.075,0.1205,0.059,0.0165,0.035,5
1,0.59,0.44,0.135,0.966,0.439,0.18,0.2605,8
2,0.435,0.33,0.11,0.3595,0.1415,0.0885,0.105,9
1,0.525,0.39,0.13,0.6825,0.249,0.1435,0.25,20
1,0.55,0.44,0.14,0.6675,0.3245,0.1455,0.19,9
0,0.605,0.48,0.155,1.1345,0.5115,0.2565,0.3,8
0,0.505,0.38,0.13,0.5765,0.233,0.119,0.161,8
2,0.335,0.26,0.09,0.2205,0.0945,0.0425,0.067,6
1,0.57,0.45,0.16,1.001,0.34,0.2455,0.245,12
2,0.52,0.435,0.155,0.7525,0.2635,0.1615,0.22,17
2,0.44,0.325,0.11,0.3925,0.1575,0.0725,0.11,9
0,0.615,0.455,0.15,1.0465,0.518,0.2095,0.2775,11
2,0.37,0.29,0.1,0.2225,0.0865,0.053,0.08,8
0,0.53,0.415,0.125,0.7665,0.3695,0.1555,0.215,9
1,0.655,0.57,0.225,1.587,0.739,0.35,0.405,13
0,0.52,0.395,0.125,0.681,0.2905,0.1325,0.1585,7
0,0.545,0.44,0.16,0.775,0.302,0.156,0.2685,12
2,0.445,0.33,0.095,0.3815,0.1675,0.081,0.11,7
2,0.34,0.26,0.09,0.2,0.086,0.056,0.055,7
2,0.52,0.395,0.125,0.5575,0.2635,0.096,0.166,7
0,0.515,0.435,0.12,0.7365,0.276,0.1785,0.195,19
2,0.32,0.22,0.065,0.1585,0.05,0.0265,0.035,5
0,0.53,0.425,0.13,0.717,0.2745,0.1345,0.205,9
2,0.535,0.42,0.145,0.6965,0.3045,0.137,0.2,9
1,0.585,0.435,0.155,0.8445,0.387,0.1885,0.25,10
0,0.425,0.34,0.105,0.383,0.1395,0.0845,0.12,9
2,0.36,0.27,0.09,0.2135,0.1065,0.038,0.062,8
1,0.71,0.525,0.175,1.7405,0.931,0.3585,0.435,8
0,0.66,0.525,0.17,1.6275,0.6315,0.3775,0.42,13
2,0.515,0.4,0.16,0.601,0.2565,0.1465,0.1835,10
1,0.57,0.445,0.135,0.86,0.3415,0.1735,0.2425,10
0,0.665,0.525,0.18,1.7095,0.7045,0.3515,0.3765,9
0,0.575,0.45,0.14,0.9555,0.4445,0.2405,0.24,9
1,0.54,0.44,0.175,0.802,0.3435,0.221,0.215,9
0,0.6,0.47,0.14,1.142,0.539,0.229,0.292,13
2,0.44,0.325,0.115,0.4395,0.2085,0.0835,0.098,8
2,0.355,0.27,0.08,0.195,0.0725,0.0445,0.05,7
1,0.515,0.4,0.13,0.6555,0.261,0.1465,0.19,8
0,0.57,0.455,0.14,0.967,0.3825,0.2055,0.26,10
0,0.645,0.51,0.19,1.3415,0.45,0.2605,0.49,14
0,0.595,0.465,0.185,1.0835,0.46,0.26,0.325,12
0,0.485,0.365,0.145,0.8295,0.2415,0.1805,0.275,14
2,0.295,0.23,0.065,0.1195,0.052,0.0295,0.03,6
1,0.58,0.43,0.14,0.7865,0.363,0.1755,0.22,10
1,0.615,0.495,0.16,1.0985,0.4985,0.2445,0.315,11
2,0.585,0.455,0.15,0.985,0.4655,0.201,0.2515,9
2,0.425,0.33,0.1,0.366,0.1655,0.081,0.105,8
2,0.505,0.385,0.12,0.6335,0.3065,0.13,0.1525,8
2,0.385,0.29,0.1,0.2665,0.111,0.051,0.0725,6
2,0.295,0.225,0.08,0.1105,0.0405,0.0295,0.032,7
0,0.655,0.53,0.195,1.388,0.567,0.2735,0.41,11
2,0.55,0.425,0.135,0.7305,0.279,0.1745,0.2425,10
0,0.59,0.465,0.15,1.136,0.5265,0.2645,0.265,12
1,0.59,0.47,0.155,1.217,0.5305,0.3075,0.36,13
1,0.52,0.38,0.135,0.837,0.369,0.2555,0.18,8
0,0.335,0.26,0.095,0.181,0.0775,0.0305,0.055,9
2,0.515,0.39,0.1,0.6005,0.2785,0.092,0.1405,8
0,0.55,0.43,0.14,0.8285,0.3325,0.16,0.2185,10
0,0.46,0.36,0.115,0.4755,0.2105,0.1045,0.15,8
2,0.315,0.25,0.075,0.1715,0.072,0.0385,0.04,7
0,0.57,0.46,0.135,0.9765,0.4765,0.1805,0.28,9
0,0.53,0.4,0.125,0.7555,0.3525,0.1835,0.2065,10
0,0.665,0.51,0.19,1.6385,0.831,0.3575,0.391,11
2,0.37,0.28,0.1,0.2555,0.093,0.0655,0.082,6
1,0.715,0.545,0.2,1.764,0.6865,0.3525,0.565,17
0,0.575,0.45,0.165,0.955,0.429,0.2225,0.265,15
0,0.655,0.53,0.19,1.583,0.7285,0.405,0.405,11
0,0.57,0.45,0.15,0.9685,0.3685,0.183,0.27,9
1,0.47,0.365,0.115,0.4075,0.1515,0.1035,0.1335,7
1,0.575,0.45,0.135,0.837,0.3745,0.1725,0.2395,9
1,0.575,0.45,0.155,0.8975,0.3485,0.2135,0.25,10
2,0.43,0.345,0.12,0.4215,0.175,0.1065,0.135,8
1,0.69,0.55,0.215,1.974,0.4695,0.402,0.665,15
0,0.565,0.455,0.17,0.8745,0.3435,0.2035,0.295,18
0,0.45,0.35,0.115,0.4585,0.1865,0.117,0.116,8
2,0.35,0.265,0.075,0.1795,0.0875,0.0355,0.0525,7
0,0.565,0.445,0.145,0.855,0.3795,0.163,0.26,11
1,0.545,0.43,0.145,0.7875,0.3305,0.1845,0.22,9
2,0.455,0.315,0.1,0.366,0.171,0.0855,0.095,9
2,0.61,0.475,0.14,1.007,0.4895,0.2105,0.2825,9
2,0.42,0.33,0.11,0.3465,0.139,0.061,0.115,7
1,0.67,0.51,0.175,1.527,0.726,0.322,0.386,10
0,0.62,0.45,0.165,1.2255,0.4935,0.2355,0.33,10
0,0.51,0.395,0.125,0.8115,0.341,0.1675,0.21,10
1,0.625,0.48,0.15,1.1155,0.4955,0.2425,0.2825,9
1,0.615,0.475,0.16,1.1215,0.5495,0.2675,0.2785,9
0,0.61,0.46,0.165,1.013,0.4695,0.2065,0.305,10
1,0.545,0.485,0.16,1.0145,0.407,0.209,0.28,14
1,0.555,0.435,0.16,0.9845,0.3845,0.1905,0.4,13
1,0.595,0.455,0.15,1.0835,0.4965,0.2355,0.2785,9
2,0.505,0.38,0.11,0.5655,0.2545,0.12,0.16,8
1,0.495,0.385,0.135,0.6855,0.2765,0.16,0.161,8
0,0.47,0.365,0.12,0.547,0.25,0.1065,0.145,9
1,0.655,0.52,0.175,1.2255,0.5405,0.3265,0.34,13
1,0.57,0.44,0.13,1.073,0.3775,0.2025,0.31,16
1,0.515,0.41,0.165,0.8085,0.2345,0.1295,0.31,13
1,0.595,0.465,0.17,1.053,0.4635,0.2665,0.2745,9
0,0.6,0.465,0.15,1.0315,0.4235,0.2395,0.28,9
0,0.515,0.38,0.145,0.6115,0.261,0.1445,0.17,9
2,0.455,0.355,0.12,0.4495,0.2165,0.0945,0.12,7
0,0.475,0.345,0.115,0.468,0.1735,0.097,0.14,9
0,0.59,0.475,0.14,0.857,0.356,0.1745,0.28,11
0,0.61,0.47,0.145,1.0835,0.4955,0.2195,0.274,8
2,0.425,0.32,0.1,0.4015,0.18,0.0735,0.0945,7
1,0.615,0.475,0.15,1.0265,0.435,0.2355,0.3035,10
0,0.625,0.485,0.2,1.3105,0.4195,0.2745,0.485,17
2,0.445,0.345,0.115,0.4385,0.1765,0.0945,0.11,8
0,0.59,0.465,0.15,0.9555,0.4325,0.1795,0.26,9
1,0.71,0.55,0.175,1.907,0.8725,0.4585,0.475,11
0,0.545,0.44,0.12,0.8025,0.3345,0.19,0.265,10
0,0.395,0.335,0.105,0.3295,0.128,0.068,0.098,8
0,0.49,0.37,0.125,0.4895,0.1865,0.099,0.1505,17
1,0.585,0.455,0.125,0.9685,0.4985,0.1825,0.265,9
2,0.415,0.31,0.1,0.2815,0.1255,0.0645,0.09,7
0,0.555,0.435,0.135,0.8915,0.3385,0.1955,0.235,10
2,0.39,0.3,0.085,0.2735,0.0975,0.053,0.08,6
1,0.605,0.48,0.15,0.9965,0.386,0.229,0.33,14
0,0.61,0.48,0.155,1.0915,0.5265,0.2635,0.2735,8
0,0.655,0.51,0.195,1.4745,0.6375,0.3355,0.355,10
0,0.625,0.48,0.155,1.12,0.5775,0.2095,0.3,10
1,0.67,0.545,0.175,1.532,0.69,0.308,0.42,10
2,0.505,0.4,0.13,0.6355,0.2705,0.127,0.17,8
2,0.55,0.43,0.13,0.7395,0.321,0.1395,0.252,8
2,0.3,0.22,0.075,0.1115,0.045,0.0245,0.035,5
0,0.605,0.485,0.16,1.0615,0.4895,0.2165,0.271,9
2,0.59,0.46,0.145,0.9685,0.4155,0.2095,0.27,9
2,0.57,0.44,0.145,0.8395,0.4115,0.1525,0.2035,8
2,0.36,0.265,0.09,0.2225,0.0765,0.0515,0.07,6
0,0.57,0.445,0.155,1.017,0.5265,0.2195,0.24,9
2,0.385,0.3,0.09,0.2875,0.1335,0.0635,0.085,6
0,0.605,0.47,0.16,1.1635,0.519,0.2445,0.337,9
0,0.635,0.5,0.18,1.369,0.5945,0.3375,0.39,9
2,0.35,0.265,0.08,0.219,0.0775,0.051,0.0705,7
1,0.565,0.455,0.145,0.8525,0.3445,0.1415,0.255,13
1,0.675,0.53,0.175,1.933,0.5395,0.35,0.58,17
1,0.565,0.435,0.135,0.8255,0.3685,0.1425,0.255,11
0,0.53,0.42,0.155,1.008,0.1885,0.209,0.34,13
0,0.7,0.565,0.185,1.8795,0.9265,0.4015,0.445,11
2,0.35,0.235,0.085,0.1895,0.078,0.044,0.0595,6
2,0.445,0.345,0.11,0.4155,0.1855,0.0875,0.1075,7
0,0.355,0.29,0.09,0.2705,0.111,0.0635,0.07,6
0,0.595,0.48,0.17,1.2425,0.4625,0.296,0.34,18
2,0.475,0.36,0.12,0.452,0.191,0.099,0.13,9
0,0.615,0.475,0.145,1.081,0.4445,0.2485,0.32,17
1,0.675,0.555,0.195,1.6705,0.732,0.358,0.503,11
2,0.565,0.45,0.15,1.0745,0.434,0.195,0.32,10
0,0.695,0.55,0.2,1.726,0.7785,0.3675,0.46,11
1,0.54,0.44,0.125,0.964,0.3865,0.1715,0.215,10
2,0.485,0.36,0.12,0.4725,0.2025,0.095,0.147,9
2,0.315,0.23,0.07,0.1545,0.058,0.0305,0.035,6
0,0.6,0.47,0.155,1.036,0.4035,0.196,0.325,12
1,0.405,0.3,0.1,0.2725,0.1185,0.046,0.09,17
2,0.315,0.215,0.07,0.127,0.039,0.0175,0.035,8
2,0.34,0.265,0.08,0.1855,0.0745,0.0385,0.052,6
2,0.255,0.23,0.06,0.096,0.0205,0.0155,0.046,6
0,0.535,0.435,0.155,0.858,0.3165,0.1845,0.245,12
1,0.545,0.41,0.13,0.6855,0.2945,0.1555,0.205,10
0,0.505,0.385,0.13,0.656,0.2555,0.172,0.207,11
2,0.275,0.2,0.07,0.092,0.037,0.02,0.03,5
0,0.595,0.465,0.175,1.0265,0.4335,0.2435,0.34,10
1,0.55,0.425,0.145,0.8395,0.3135,0.1445,0.285,12
2,0.59,0.47,0.15,1.05,0.53,0.2385,0.2525,9
0,0.49,0.375,0.115,0.5785,0.241,0.1315,0.185,7
2,0.425,0.31,0.1,0.3525,0.1685,0.081,0.092,7
1,0.57,0.465,0.15,1.03,0.4305,0.2225,0.3,10
2,0.44,0.32,0.1,0.3785,0.1735,0.071,0.087,7
1,0.625,0.485,0.155,1.137,0.4605,0.2495,0.3,8
0,0.55,0.44,0.14,0.7165,0.3495,0.1405,0.2155,9
1,0.62,0.475,0.16,1.1625,0.545,0.2425,0.335,10
0,0.605,0.485,0.165,1.0465,0.4355,0.2115,0.35,10
2,0.435,0.335,0.105,0.3685,0.1635,0.0795,0.11,8
0,0.63,0.49,0.19,1.218,0.5405,0.2305,0.4,16
0,0.595,0.47,0.16,1.098,0.5195,0.222,0.305,10
0,0.735,0.55,0.19,1.539,0.6355,0.3685,0.51,13
0,0.505,0.385,0.125,0.6335,0.2945,0.1175,0.19,8
0,0.65,0.5,0.16,1.2075,0.5825,0.262,0.319,9
0,0.45,0.335,0.115,0.4305,0.1335,0.0765,0.135,8
0,0.595,0.47,0.155,0.9365,0.4455,0.2085,0.265,11
2,0.49,0.38,0.12,0.543,0.2215,0.1225,0.1315,9
2,0.315,0.23,0.075,0.1545,0.056,0.0355,0.045,7
2,0.515,0.39,0.12,0.599,0.2485,0.13,0.1455,8
1,0.715,0.565,0.215,2.0065,0.7645,0.4385,0.5,13
0,0.48,0.375,0.11,0.6335,0.2765,0.1405,0.1575,7
0,0.61,0.485,0.17,1.0965,0.419,0.2335,0.3,13
2,0.455,0.365,0.105,0.4305,0.159,0.0755,0.143,8
2,0.415,0.31,0.095,0.2865,0.115,0.0595,0.085,7
2,0.32,0.25,0.095,0.1755,0.071,0.04,0.06,8
2,0.235,0.175,0.06,0.1195,0.0525,0.0265,0.03,5
2,0.415,0.31,0.1,0.2965,0.126,0.063,0.105,9
0,0.49,0.41,0.17,0.6555,0.2655,0.15,0.18,11
0,0.725,0.57,0.18,1.583,0.735,0.387,0.435,10
2,0.565,0.435,0.145,0.9365,0.429,0.1725,0.2445,9
2,0.7,0.545,0.195,1.7265,0.6645,0.3775,0.4625,10
2,0.46,0.345,0.11,0.3985,0.174,0.0635,0.135,8
0,0.645,0.49,0.16,1.2415,0.6045,0.3125,0.2755,10
2,0.28,0.215,0.07,0.1295,0.0525,0.0305,0.039,6
2,0.515,0.395,0.125,0.6115,0.245,0.1375,0.172,9
2,0.425,0.335,0.09,0.2805,0.109,0.0545,0.0985,7
0,0.485,0.41,0.125,0.6555,0.191,0.117,0.235,11
1,0.52,0.41,0.185,0.8795,0.2855,0.204,0.29,15
0,0.555,0.435,0.155,0.872,0.3265,0.2195,0.26,13
1,0.61,0.485,0.165,1.2795,0.63,0.2665,0.321,9
2,0.575,0.44,0.15,0.9455,0.4385,0.2035,0.24,9
2,0.305,0.23,0.075,0.152,0.0595,0.0305,0.045,6
1,0.59,0.465,0.175,1.309,0.556,0.2475,0.475,16
2,0.59,0.475,0.16,1.2075,0.526,0.254,0.292,10
1,0.57,0.445,0.155,1.055,0.543,0.2325,0.2365,9
1,0.565,0.44,0.16,0.9185,0.429,0.2015,0.2375,11
2,0.43,0.325,0.11,0.3645,0.159,0.0855,0.105,8
0,0.595,0.445,0.175,1.229,0.564,0.258,0.3315,11
0,0.605,0.475,0.17,1.097,0.4775,0.2485,0.345,11
0,0.53,0.415,0.14,0.8175,0.2795,0.2185,0.245,8
1,0.59,0.465,0.13,1.1005,0.506,0.2525,0.265,11
0,0.62,0.485,0.145,1.1415,0.5105,0.2425,0.275,8
0,0.58,0.465,0.165,1.1295,0.4635,0.2485,0.27,13
2,0.505,0.39,0.13,0.7265,0.3285,0.1555,0.1625,8
2,0.505,0.4,0.135,0.5725,0.2705,0.1075,0.18,8
1,0.59,0.445,0.145,1.079,0.5195,0.21,0.2515,9
0,0.69,0.56,0.18,1.6755,0.6395,0.2695,0.435,16
2,0.46,0.36,0.125,0.5235,0.2125,0.096,0.16,8
1,0.64,0.5,0.185,1.676,0.693,0.44,0.4425,11
2,0.375,0.28,0.09,0.2865,0.11,0.0655,0.085,5
2,0.385,0.29,0.1,0.2665,0.1155,0.0595,0.081,7
2,0.385,0.29,0.11,0.2505,0.112,0.053,0.08,7
2,0.575,0.465,0.155,0.858,0.4105,0.176,0.214,8
2,0.47,0.375,0.12,0.487,0.198,0.1055,0.17,9
2,0.28,0.21,0.065,0.092,0.036,0.0225,0.03,6
0,0.575,0.45,0.18,0.853,0.375,0.1835,0.235,10
1,0.565,0.455,0.16,1.053,0.3815,0.244,0.375,18
1,0.55,0.45,0.15,0.875,0.2435,0.205,0.265,9
0,0.525,0.415,0.135,0.852,0.3365,0.1865,0.25,9
1,0.6,0.495,0.17,1.3035,0.5055,0.2445,0.3715,10
2,0.35,0.28,0.075,0.215,0.084,0.059,0.055,5
1,0.415,0.315,0.1,0.334,0.1165,0.0755,0.095,11
2,0.55,0.425,0.135,0.8295,0.3675,0.1715,0.202,8
0,0.605,0.485,0.165,1.1615,0.513,0.301,0.305,10
0,0.515,0.4,0.14,0.7365,0.3125,0.1415,0.185,10
0,0.625,0.47,0.165,1.074,0.4535,0.2235,0.3,9
1,0.655,0.505,0.155,1.2765,0.486,0.2055,0.355,10
1,0.485,0.38,0.135,0.6185,0.241,0.1315,0.175,8
2,0.525,0.4,0.145,0.578,0.249,0.1405,0.1755,9
1,0.68,0.61,0.19,1.74,0.9455,0.3135,0.3835,11
2,0.49,0.38,0.13,0.537,0.229,0.093,0.1595,9
2,0.26,0.2,0.065,0.096,0.039,0.0225,0.03,5
0,0.62,0.49,0.17,1.136,0.4605,0.3275,0.305,11
0,0.665,0.525,0.185,1.4385,0.5995,0.3315,0.49,11
0,0.55,0.425,0.145,0.737,0.3265,0.1725,0.22,9
0,0.56,0.44,0.135,0.853,0.3285,0.216,0.27,12
1,0.62,0.5,0.16,1.1775,0.5805,0.2915,0.265,9
2,0.16,0.12,0.04,0.0315,0.0105,0.005,0.009,3
0,0.58,0.435,0.15,0.8455,0.3695,0.2075,0.2475,8
1,0.675,0.485,0.175,1.5535,0.7295,0.402,0.401,11
1,0.605,0.47,0.135,1.136,0.4505,0.2205,0.3,12
0,0.59,0.46,0.145,1.032,0.419,0.2405,0.315,10
1,0.585,0.45,0.145,0.9585,0.4145,0.195,0.2385,9
0,0.46,0.35,0.125,0.6405,0.1935,0.1285,0.255,16
0,0.575,0.47,0.145,0.99,0.381,0.2195,0.355,20
2,0.18,0.15,0.035,0.021,0.0055,0.0035,0.005,4
0,0.33,0.265,0.08,0.196,0.0725,0.0525,0.06,5
2,0.475,0.35,0.105,0.4925,0.214,0.127,0.1275,7
0,0.625,0.505,0.2,1.3855,0.4235,0.2925,0.505,20
1,0.525,0.4,0.15,0.6025,0.2405,0.146,0.185,9
2,0.18,0.135,0.045,0.0265,0.0105,0.0055,0.01,4
2,0.37,0.285,0.08,0.2105,0.086,0.0455,0.075,6
1,0.55,0.42,0.145,0.858,0.3235,0.1735,0.28,9
0,0.475,0.355,0.115,0.4565,0.2075,0.081,0.1335,9
1,0.635,0.505,0.175,1.402,0.631,0.3315,0.4,11
2,0.405,0.29,0.095,0.2715,0.1235,0.0515,0.063,8
